wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1152.9907,0,0.00735,3.324e-07,6.309,6.3163
1153.0008,0,0.05145,3.3653e-07,6.4176,6.469
1153.0108,0,0.0588,3.4065e-07,6.43,6.4888
1153.0209,0,0.0588,3.4477e-07,6.4309,6.4897
1153.0309,0,0.0588,3.489e-07,6.4318,6.4906
1153.0409,0,0.0588,3.5302e-07,6.4327,6.4915
1153.0510,0,0.0588,3.5714e-07,6.4336,6.4924
1153.0610,0,0.0588,3.6126e-07,6.4345,6.4933
1153.0710,0,0.0588,3.6538e-07,6.4353,6.4942
1153.0811,0,0.0588,3.6949e-07,6.4362,6.495
1153.0911,0,0.0588,3.7353e-07,6.4371,6.4959
1153.1011,0,0.0588,3.775e-07,6.438,6.4968
1153.1112,0,0.0588,3.8138e-07,6.4389,6.4977
1153.1212,0,0.0588,3.8518e-07,6.4398,6.4986
1153.1312,0,0.0588,3.8889e-07,6.4407,6.4995
1153.1413,0,0.0588,3.9252e-07,6.4416,6.5004
1153.1513,0,0.0588,3.9607e-07,6.4425,6.5013
1153.1614,0,0.0588,3.9953e-07,6.4434,6.5022
1153.1714,0,0.0588,4.0292e-07,6.4443,6.5031
1153.1814,0,0.0588,4.0621e-07,6.4452,6.504
1153.1915,0,0.0588,4.0943e-07,6.4461,6.5049
1153.2015,0,0.0588,4.1256e-07,6.4469,6.5057
1153.2115,0,0.0588,4.1561e-07,6.4478,6.5066
1153.2216,0,0.0588,4.1858e-07,6.4487,6.5075
1153.2316,0,0.0588,4.2146e-07,6.4496,6.5084
1153.2416,0,0.0588,4.2426e-07,6.4505,6.5093
1153.2517,0,0.0588,4.2697e-07,6.4514,6.5102
1153.2617,0,0.0588,4.2961e-07,6.4523,6.5111
1153.2718,0,0.0588,4.3216e-07,6.4532,6.512
1153.2818,0,0.0588,4.3462e-07,6.4541,6.5129
1153.2918,0,0.0588,4.3701e-07,6.455,6.5138
1153.3019,0,0.0588,4.3931e-07,6.4559,6.5147
1153.3119,0,0.0588,4.4152e-07,6.4567,6.5155
1153.3219,0,0.0588,4.4366e-07,6.4576,6.5164
1153.3320,0,0.0588,4.4571e-07,6.4585,6.5173
1153.3420,0,0.0588,4.4768e-07,6.4594,6.5182
1153.3520,0,0.0588,4.4956e-07,6.4603,6.5191
1153.3621,0,0.0588,4.5136e-07,6.4612,6.52
1153.3721,0,0.0588,4.5308e-07,6.4621,6.5209
1153.3821,0,0.0588,4.5472e-07,6.463,6.5218
1153.3922,0,0.0588,4.5627e-07,6.4639,6.5227
1153.4022,0,0.0588,4.5774e-07,6.4648,6.5236
1153.4123,0,0.0588,4.5912e-07,6.4656,6.5244
1153.4223,0,0.0588,4.6042e-07,6.4665,6.5253
1153.4323,0,0.0588,4.6164e-07,6.4674,6.5262
1153.4424,0,0.0588,4.6278e-07,6.4683,6.5271
1153.4524,0,0.0588,4.6383e-07,6.4692,6.528
1153.4624,0,0.0588,4.648e-07,6.4701,6.5289
1153.4725,0,0.0588,4.6569e-07,6.471,6.5298
1153.4825,0,0.0588,4.6649e-07,6.4719,6.5307
1153.4925,0,0.0588,4.6721e-07,6.4728,6.5316
1153.5026,0,0.0588,4.6785e-07,6.4737,6.5325
1153.5126,0,0.0588,4.684e-07,6.4745,6.5333
1153.5227,0,0.0588,4.6888e-07,6.4754,6.5342
1153.5327,0,0.0588,4.6926e-07,6.4763,6.5351
1153.5427,0,0.0588,4.6957e-07,6.4772,6.536
1153.5528,0,0.0588,4.6979e-07,6.4781,6.5369
1153.5628,0,0.0588,4.6993e-07,6.479,6.5378
1153.5728,0,0.0588,4.6998e-07,6.4799,6.5387
1153.5829,0,0.0588,4.6998e-07,6.4808,6.5396
1153.5929,0,0.0588,4.6996e-07,6.4817,6.5405
1153.6029,0,0.0588,4.6994e-07,6.4826,6.5414
1153.6130,0,0.0588,4.6991e-07,6.4835,6.5423
1153.6230,0,0.0588,4.6989e-07,6.4844,6.5432
1153.6331,0,0.0588,4.6987e-07,6.4852,6.544
1153.6431,0,0.0588,4.6985e-07,6.4861,6.5449
1153.6531,0,0.0588,4.6983e-07,6.487,6.5458
1153.6632,0,0.0588,4.698e-07,6.4879,6.5467
1153.6732,0,0.0588,4.6978e-07,6.4888,6.5476
1153.6832,0,0.0588,4.6976e-07,6.4897,6.5485
1153.6933,0,0.0588,4.6974e-07,6.4906,6.5494
1153.7033,0,0.0588,4.6972e-07,6.4915,6.5503
1153.7133,0,0.0588,4.6969e-07,6.4924,6.5512
1153.7234,0,0.0588,4.6967e-07,6.4933,6.5521
1153.7334,0,0.0588,4.6965e-07,6.4942,6.553
1153.7434,0,0.0588,4.6963e-07,6.495,6.5538
1153.7535,0,0.0588,4.696e-07,6.4959,6.5547
1153.7635,0,0.0588,4.6958e-07,6.4968,6.5556
1153.7736,0,0.0588,4.6956e-07,6.4977,6.5565
1153.7836,0,0.0588,4.6954e-07,6.4986,6.5574
1153.7936,0,0.0588,4.6951e-07,6.4995,6.5583
1153.8037,0,0.0588,4.6949e-07,6.5004,6.5592
1153.8137,0,0.0588,4.6947e-07,6.5013,6.5601
1153.8237,0,0.0588,4.6945e-07,6.5022,6.561
1153.8338,0,0.0588,4.6942e-07,6.5031,6.5619
1153.8438,0,0.0588,4.694e-07,6.5039,6.5627
1153.8538,0,0.0588,4.6938e-07,6.5048,6.5636
1153.8639,0,0.0588,4.6935e-07,6.5057,6.5645
1153.8739,0,0.0588,4.6933e-07,6.5066,6.5654
1153.8840,0,0.0588,4.6931e-07,6.5075,6.5663
1153.8940,0,0.0588,4.6929e-07,6.5084,6.5672
1153.9040,0,0.0588,4.6926e-07,6.5093,6.5681
1153.9141,0,0.0588,4.6924e-07,6.5102,6.569
1153.9241,0,0.0588,4.6922e-07,6.5111,6.5699
1153.9341,0,0.0588,4.6919e-07,6.512,6.5708
1153.9442,0,0.0588,4.6917e-07,6.5128,6.5716
1153.9542,0,0.0588,4.6915e-07,6.5137,6.5725
1153.9642,0,0.0588,4.6912e-07,6.5146,6.5734
1153.9743,0,0.0588,4.691e-07,6.5155,6.5743
1153.9843,0,0.0588,4.6908e-07,6.5164,6.5752
1153.9943,0,0.0588,4.6905e-07,6.5173,6.5761
1154.0044,0,0.0588,4.6903e-07,6.5182,6.577
1154.0144,0,0.0588,4.6901e-07,6.519,6.5778
1154.0245,0,0.0588,4.6898e-07,6.5199,6.5787
1154.0345,0,0.0588,4.6896e-07,6.5208,6.5796
1154.0445,0,0.0588,4.6894e-07,6.5216,6.5804
1154.0546,0,0.0588,4.6891e-07,6.5225,6.5813
1154.0646,0,0.0588,4.6889e-07,6.5233,6.5821
1154.0746,0,0.0588,4.6887e-07,6.5242,6.583
1154.0847,0,0.0588,4.6884e-07,6.5251,6.5839
1154.0947,0,0.0588,4.6882e-07,6.5259,6.5847
1154.1047,0,0.0588,4.6879e-07,6.5268,6.5856
1154.1148,0,0.0588,4.6877e-07,6.5276,6.5864
1154.1248,0,0.0588,4.6875e-07,6.5285,6.5873
1154.1349,0,0.0588,4.6872e-07,6.5294,6.5882
1154.1449,0,0.0588,4.687e-07,6.5302,6.589
1154.1549,0,0.0588,4.6867e-07,6.5311,6.5899
1154.1650,0,0.0588,4.6865e-07,6.532,6.5908
1154.1750,0,0.0588,4.6863e-07,6.5328,6.5916
1154.1850,0,0.0588,4.686e-07,6.5337,6.5925
1154.1951,0,0.0588,4.6858e-07,6.5345,6.5933
1154.2051,0,0.0588,4.6855e-07,6.5354,6.5942
1154.2151,0,0.0588,4.6853e-07,6.5363,6.5951
1154.2252,0,0.0588,4.685e-07,6.5371,6.5959
1154.2352,0,0.0588,4.6848e-07,6.538,6.5968
1154.2452,0,0.0588,4.6846e-07,6.5388,6.5976
1154.2553,0,0.0588,4.6843e-07,6.5397,6.5985
1154.2653,0,0.0588,4.6841e-07,6.5406,6.5994
1154.2754,0,0.0588,4.6838e-07,6.5414,6.6002
1154.2854,0,0.0588,4.6836e-07,6.5423,6.6011
1154.2954,0,0.0588,4.6833e-07,6.5431,6.6019
1154.3055,0,0.0588,4.6831e-07,6.544,6.6028
1154.3155,0,0.0588,4.6828e-07,6.5449,6.6037
1154.3255,0,0.0588,4.6826e-07,6.5457,6.6045
1154.3356,0,0.0588,4.6823e-07,6.5466,6.6054
1154.3456,0,0.0588,4.6821e-07,6.5474,6.6062
1154.3556,0,0.0588,4.6818e-07,6.5483,6.6071
1154.3657,0,0.0588,4.6816e-07,6.5492,6.608
1154.3757,0,0.0588,4.6813e-07,6.55,6.6088
1154.3858,0,0.0588,4.6811e-07,6.5509,6.6097
1154.3958,0,0.0588,4.6808e-07,6.5517,6.6105
1154.4058,0,0.0588,4.6806e-07,6.5526,6.6114
1154.4159,0,0.0588,4.6803e-07,6.5535,6.6123
1154.4259,0,0.0588,4.6801e-07,6.5543,6.6131
1154.4359,0,0.0588,4.6798e-07,6.5552,6.614
1154.4460,0,0.0588,4.6796e-07,6.556,6.6148
1154.4560,0,0.0588,4.6793e-07,6.5569,6.6157
1154.4660,0,0.0588,4.6791e-07,6.5577,6.6165
1154.4761,0,0.0588,4.6788e-07,6.5586,6.6174
1154.4861,0,0.0588,4.6786e-07,6.5595,6.6183
1154.4962,0,0.0588,4.6783e-07,6.5603,6.6191
1154.5062,0,0.0588,4.6781e-07,6.5612,6.62
1154.5162,0,0.0588,4.6778e-07,6.562,6.6208
1154.5263,0,0.0588,4.6775e-07,6.5629,6.6217
1154.5363,0,0.0588,4.6773e-07,6.5638,6.6226
1154.5463,0,0.0588,4.677e-07,6.5646,6.6234
1154.5564,0,0.0588,4.6768e-07,6.5655,6.6243
1154.5664,0,0.0588,4.6765e-07,6.5664,6.6252
1154.5764,0,0.0588,4.6763e-07,6.5672,6.626
1154.5865,0,0.0588,4.676e-07,6.5681,6.6269
1154.5965,0,0.0588,4.6757e-07,6.5689,6.6277
1154.6065,0,0.0588,4.6755e-07,6.5698,6.6286
1154.6166,0,0.0588,4.6752e-07,6.5707,6.6295
1154.6266,0,0.0588,4.6749e-07,6.5715,6.6303
1154.6367,0,0.0588,4.6747e-07,6.5724,6.6312
1154.6467,0,0.0588,4.6744e-07,6.5732,6.632
1154.6567,0,0.0588,4.6742e-07,6.5741,6.6329
1154.6668,0,0.0588,4.6739e-07,6.575,6.6338
1154.6768,0,0.0588,4.6736e-07,6.5758,6.6346
1154.6868,0,0.0588,4.6734e-07,6.5767,6.6355
1154.6969,0,0.0588,4.6731e-07,6.5775,6.6363
1154.7069,0,0.0588,4.6728e-07,6.5784,6.6372
1154.7169,0,0.0588,4.6726e-07,6.5793,6.6381
1154.7270,0,0.0588,4.6723e-07,6.5801,6.6389
1154.7370,0,0.0588,4.672e-07,6.581,6.6398
1154.7471,0,0.0588,4.6718e-07,6.5818,6.6406
1154.7571,0,0.0588,4.6715e-07,6.5827,6.6415
1154.7671,0,0.0588,4.6712e-07,6.5836,6.6424
1154.7772,0,0.0588,4.671e-07,6.5844,6.6432
1154.7872,0,0.0588,4.6707e-07,6.5853,6.6441
1154.7972,0,0.0588,4.6704e-07,6.5861,6.6449
1154.8073,0,0.0588,4.6702e-07,6.587,6.6458
1154.8173,0,0.0588,4.6699e-07,6.5879,6.6467
1154.8273,0,0.0588,4.6696e-07,6.5887,6.6475
1154.8374,0,0.0588,4.6693e-07,6.5896,6.6484
1154.8474,0,0.0588,4.6691e-07,6.5904,6.6492
1154.8574,0,0.0588,4.6688e-07,6.5913,6.6501
1154.8675,0,0.0588,4.6685e-07,6.5921,6.6509
1154.8775,0,0.0588,4.6683e-07,6.593,6.6518
1154.8876,0,0.0588,4.668e-07,6.5939,6.6527
1154.8976,0,0.0588,4.6677e-07,6.5947,6.6535
1154.9076,0,0.0588,4.6674e-07,6.5956,6.6544
1154.9177,0,0.0588,4.6672e-07,6.5964,6.6552
1154.9277,0,0.0588,4.6669e-07,6.5973,6.6561
1154.9377,0,0.0588,4.6666e-07,6.5982,6.657
1154.9478,0,0.0588,4.6663e-07,6.599,6.6578
1154.9578,0,0.0588,4.6661e-07,6.5999,6.6587
1154.9678,0,0.0588,4.6658e-07,6.6007,6.6595
1154.9779,0,0.0588,4.6655e-07,6.6016,6.6604
1154.9879,0,0.0588,4.6652e-07,6.6024,6.6612
1154.9980,0,0.0588,4.665e-07,6.6033,6.6621
1155.0080,0,0.0588,4.6647e-07,6.6041,6.6629
1155.0180,0,0.0588,4.6644e-07,6.605,6.6638
1155.0281,0,0.0588,4.6641e-07,6.6058,6.6646
1155.0381,0,0.0588,4.6638e-07,6.6066,6.6654
1155.0481,0,0.0588,4.6636e-07,6.6075,6.6663
1155.0582,0,0.0588,4.6633e-07,6.6083,6.6671
1155.0682,0,0.0588,4.663e-07,6.6091,6.6679
1155.0782,0,0.0588,4.6627e-07,6.61,6.6688
1155.0883,0,0.0588,4.6624e-07,6.6108,6.6696
1155.0983,0,0.0588,4.6622e-07,6.6116,6.6704
1155.1083,0,0.0588,4.6619e-07,6.6124,6.6712
1155.1184,0,0.0588,4.6616e-07,6.6133,6.6721
1155.1284,0,0.0588,4.6613e-07,6.6141,6.6729
1155.1385,0,0.0588,4.661e-07,6.6149,6.6737
1155.1485,0,0.0588,4.6607e-07,6.6158,6.6746
1155.1585,0,0.0588,4.6605e-07,6.6166,6.6754
1155.1686,0,0.0588,4.6602e-07,6.6174,6.6762
1155.1786,0,0.0588,4.6599e-07,6.6183,6.6771
1155.1886,0,0.0588,4.6596e-07,6.6191,6.6779
1155.1987,0,0.0588,4.6593e-07,6.6199,6.6787
1155.2087,0,0.0588,4.659e-07,6.6207,6.6795
1155.2187,0,0.0588,4.6588e-07,6.6216,6.6804
1155.2288,0,0.0588,4.6585e-07,6.6224,6.6812
1155.2388,0,0.0588,4.6582e-07,6.6232,6.682
1155.2489,0,0.0588,4.6579e-07,6.6241,6.6829
1155.2589,0,0.0588,4.6576e-07,6.6249,6.6837
1155.2689,0,0.0588,4.6573e-07,6.6257,6.6845
1155.2790,0,0.0588,4.657e-07,6.6266,6.6854
1155.2890,0,0.0588,4.6567e-07,6.6274,6.6862
1155.2990,0,0.0588,4.6564e-07,6.6282,6.687
1155.3091,0,0.0588,4.6562e-07,6.629,6.6878
1155.3191,0,0.0588,4.6559e-07,6.6299,6.6887
1155.3291,0,0.0588,4.6556e-07,6.6307,6.6895
1155.3392,0,0.0588,4.6553e-07,6.6315,6.6903
1155.3492,0,0.0588,4.655e-07,6.6324,6.6912
1155.3593,0,0.0588,4.6547e-07,6.6332,6.692
1155.3693,0,0.0588,4.6544e-07,6.634,6.6928
1155.3793,0,0.0588,4.6541e-07,6.6348,6.6936
1155.3894,0,0.0588,4.6538e-07,6.6357,6.6945
1155.3994,0,0.0588,4.6535e-07,6.6365,6.6953
1155.4094,0,0.0588,4.6532e-07,6.6373,6.6961
1155.4195,0,0.0588,4.6529e-07,6.6381,6.697
1155.4295,0,0.0588,4.6526e-07,6.639,6.6978
1155.4395,0,0.0588,4.6524e-07,6.6398,6.6986
1155.4496,0,0.0588,4.6521e-07,6.6406,6.6994
1155.4596,0,0.0588,4.6518e-07,6.6415,6.7003
1155.4696,0,0.0588,4.6515e-07,6.6423,6.7011
1155.4797,0,0.0588,4.6512e-07,6.6431,6.7019
1155.4897,0,0.0588,4.6509e-07,6.6439,6.7027
1155.4998,0,0.0588,4.6506e-07,6.6448,6.7036
1155.5098,0,0.0588,4.6503e-07,6.6456,6.7044
1155.5198,0,0.0588,4.65e-07,6.6464,6.7052
1155.5299,0,0.0588,4.6497e-07,6.6473,6.7061
1155.5399,0,0.0588,4.6494e-07,6.6481,6.7069
1155.5499,0,0.0588,4.6491e-07,6.6489,6.7077
1155.5600,0,0.0588,4.6488e-07,6.6498,6.7086
1155.5700,0,0.0588,4.6485e-07,6.6506,6.7094
1155.5800,0,0.0588,4.6482e-07,6.6514,6.7102
1155.5901,0,0.0588,4.6479e-07,6.6522,6.711
1155.6001,0,0.0588,4.6476e-07,6.6531,6.7119
1155.6102,0,0.0588,4.6473e-07,6.6539,6.7127
