wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1152.9907,0,0.0069563,3.4134e-07,6.4829,6.4899
1153.0008,0,0.048694,3.4556e-07,6.5945,6.6432
1153.0108,0,0.05565,3.4979e-07,6.607,6.6627
1153.0209,0,0.05565,3.5402e-07,6.6077,6.6633
1153.0309,0,0.05565,3.5825e-07,6.6084,6.664
1153.0409,0,0.05565,3.6247e-07,6.6091,6.6647
1153.0510,0,0.05565,3.667e-07,6.6097,6.6654
1153.0610,0,0.05565,3.7093e-07,6.6104,6.6661
1153.0710,0,0.05565,3.7515e-07,6.6111,6.6668
1153.0811,0,0.05565,3.7936e-07,6.6118,6.6674
1153.0911,0,0.05565,3.8351e-07,6.6125,6.6681
1153.1011,0,0.05565,3.8757e-07,6.6131,6.6688
1153.1112,0,0.05565,3.9155e-07,6.6138,6.6695
1153.1212,0,0.05565,3.9544e-07,6.6145,6.6702
1153.1312,0,0.05565,3.9925e-07,6.6152,6.6708
1153.1413,0,0.05565,4.0297e-07,6.6159,6.6715
1153.1513,0,0.05565,4.066e-07,6.6165,6.6722
1153.1614,0,0.05565,4.1015e-07,6.6172,6.6729
1153.1714,0,0.05565,4.1362e-07,6.6179,6.6736
1153.1814,0,0.05565,4.1699e-07,6.6186,6.6742
1153.1915,0,0.05565,4.2029e-07,6.6193,6.6749
1153.2015,0,0.05565,4.2349e-07,6.6199,6.6756
1153.2115,0,0.05565,4.2661e-07,6.6206,6.6763
1153.2216,0,0.05565,4.2965e-07,6.6213,6.677
1153.2316,0,0.05565,4.326e-07,6.622,6.6776
1153.2416,0,0.05565,4.3546e-07,6.6227,6.6783
1153.2517,0,0.05565,4.3824e-07,6.6233,6.679
1153.2617,0,0.05565,4.4094e-07,6.624,6.6797
1153.2718,0,0.05565,4.4354e-07,6.6247,6.6804
1153.2818,0,0.05565,4.4607e-07,6.6254,6.681
1153.2918,0,0.05565,4.485e-07,6.6261,6.6817
1153.3019,0,0.05565,4.5085e-07,6.6267,6.6824
1153.3119,0,0.05565,4.5312e-07,6.6274,6.6831
1153.3219,0,0.05565,4.553e-07,6.6281,6.6837
1153.3320,0,0.05565,4.5739e-07,6.6288,6.6844
1153.3420,0,0.05565,4.594e-07,6.6294,6.6851
1153.3520,0,0.05565,4.6133e-07,6.6301,6.6858
1153.3621,0,0.05565,4.6316e-07,6.6308,6.6864
1153.3721,0,0.05565,4.6491e-07,6.6315,6.6871
1153.3821,0,0.05565,4.6658e-07,6.6322,6.6878
1153.3922,0,0.05565,4.6816e-07,6.6328,6.6885
1153.4022,0,0.05565,4.6966e-07,6.6335,6.6892
1153.4123,0,0.05565,4.7107e-07,6.6342,6.6898
1153.4223,0,0.05565,4.7239e-07,6.6349,6.6905
1153.4323,0,0.05565,4.7363e-07,6.6355,6.6912
1153.4424,0,0.05565,4.7478e-07,6.6362,6.6919
1153.4524,0,0.05565,4.7585e-07,6.6369,6.6925
1153.4624,0,0.05565,4.7683e-07,6.6376,6.6932
1153.4725,0,0.05565,4.7772e-07,6.6382,6.6939
1153.4825,0,0.05565,4.7853e-07,6.6389,6.6946
1153.4925,0,0.05565,4.7926e-07,6.6396,6.6952
1153.5026,0,0.05565,4.799e-07,6.6403,6.6959
1153.5126,0,0.05565,4.8045e-07,6.6409,6.6966
1153.5227,0,0.05565,4.8092e-07,6.6416,6.6973
1153.5327,0,0.05565,4.813e-07,6.6423,6.698
1153.5427,0,0.05565,4.816e-07,6.643,6.6986
1153.5528,0,0.05565,4.8181e-07,6.6437,6.6993
1153.5628,0,0.05565,4.8193e-07,6.6444,6.7
1153.5728,0,0.05565,4.8198e-07,6.645,6.7007
1153.5829,0,0.05565,4.8195e-07,6.6457,6.7014
1153.5929,0,0.05565,4.8191e-07,6.6464,6.7021
1153.6029,0,0.05565,4.8188e-07,6.6471,6.7027
1153.6130,0,0.05565,4.8184e-07,6.6478,6.7034
1153.6230,0,0.05565,4.818e-07,6.6484,6.7041
1153.6331,0,0.05565,4.8176e-07,6.6491,6.7048
1153.6431,0,0.05565,4.8172e-07,6.6498,6.7055
1153.6531,0,0.05565,4.8168e-07,6.6505,6.7061
1153.6632,0,0.05565,4.8164e-07,6.6512,6.7068
1153.6732,0,0.05565,4.816e-07,6.6519,6.7075
1153.6832,0,0.05565,4.8156e-07,6.6525,6.7082
1153.6933,0,0.05565,4.8152e-07,6.6532,6.7089
1153.7033,0,0.05565,4.8148e-07,6.6539,6.7095
1153.7133,0,0.05565,4.8144e-07,6.6546,6.7102
1153.7234,0,0.05565,4.814e-07,6.6552,6.7109
1153.7334,0,0.05565,4.8137e-07,6.6559,6.7116
1153.7434,0,0.05565,4.8133e-07,6.6566,6.7123
1153.7535,0,0.05565,4.8129e-07,6.6573,6.7129
1153.7635,0,0.05565,4.8125e-07,6.658,6.7136
1153.7736,0,0.05565,4.8121e-07,6.6586,6.7143
1153.7836,0,0.05565,4.8117e-07,6.6593,6.715
1153.7936,0,0.05565,4.8113e-07,6.66,6.7157
1153.8037,0,0.05565,4.8109e-07,6.6607,6.7163
1153.8137,0,0.05565,4.8105e-07,6.6614,6.717
1153.8237,0,0.05565,4.8101e-07,6.662,6.7177
1153.8338,0,0.05565,4.8097e-07,6.6627,6.7184
1153.8438,0,0.05565,4.8093e-07,6.6634,6.719
1153.8538,0,0.05565,4.8089e-07,6.6641,6.7197
1153.8639,0,0.05565,4.8085e-07,6.6647,6.7204
1153.8739,0,0.05565,4.8081e-07,6.6654,6.7211
1153.8840,0,0.05565,4.8077e-07,6.6661,6.7218
1153.8940,0,0.05565,4.8073e-07,6.6668,6.7224
1153.9040,0,0.05565,4.8069e-07,6.6675,6.7231
1153.9141,0,0.05565,4.8065e-07,6.6681,6.7238
1153.9241,0,0.05565,4.8061e-07,6.6688,6.7245
1153.9341,0,0.05565,4.8057e-07,6.6695,6.7251
1153.9442,0,0.05565,4.8053e-07,6.6702,6.7258
1153.9542,0,0.05565,4.8049e-07,6.6708,6.7265
1153.9642,0,0.05565,4.8045e-07,6.6715,6.7272
1153.9743,0,0.05565,4.8041e-07,6.6722,6.7278
1153.9843,0,0.05565,4.8037e-07,6.6729,6.7285
1153.9943,0,0.05565,4.8033e-07,6.6735,6.7292
1154.0044,0,0.05565,4.8029e-07,6.6742,6.7299
1154.0144,0,0.05565,4.8025e-07,6.6749,6.7305
1154.0245,0,0.05565,4.8021e-07,6.6756,6.7312
1154.0345,0,0.05565,4.8017e-07,6.6762,6.7319
1154.0445,0,0.05565,4.8013e-07,6.6769,6.7326
1154.0546,0,0.05565,4.8009e-07,6.6776,6.7332
1154.0646,0,0.05565,4.8005e-07,6.6783,6.7339
1154.0746,0,0.05565,4.8001e-07,6.6789,6.7346
1154.0847,0,0.05565,4.7997e-07,6.6796,6.7353
1154.0947,0,0.05565,4.7993e-07,6.6803,6.7359
1154.1047,0,0.05565,4.7989e-07,6.6809,6.7366
1154.1148,0,0.05565,4.7985e-07,6.6816,6.7373
1154.1248,0,0.05565,4.7981e-07,6.6823,6.7379
1154.1349,0,0.05565,4.7977e-07,6.683,6.7386
1154.1449,0,0.05565,4.7973e-07,6.6836,6.7393
1154.1549,0,0.05565,4.7969e-07,6.6843,6.74
1154.1650,0,0.05565,4.7965e-07,6.685,6.7406
1154.1750,0,0.05565,4.7961e-07,6.6856,6.7413
1154.1850,0,0.05565,4.7957e-07,6.6863,6.742
1154.1951,0,0.05565,4.7953e-07,6.687,6.7426
1154.2051,0,0.05565,4.7949e-07,6.6877,6.7433
1154.2151,0,0.05565,4.7945e-07,6.6883,6.744
1154.2252,0,0.05565,4.7941e-07,6.689,6.7447
1154.2352,0,0.05565,4.7937e-07,6.6897,6.7453
1154.2452,0,0.05565,4.7933e-07,6.6903,6.746
1154.2553,0,0.05565,4.7929e-07,6.691,6.7467
1154.2653,0,0.05565,4.7925e-07,6.6917,6.7473
1154.2754,0,0.05565,4.7921e-07,6.6924,6.748
1154.2854,0,0.05565,4.7917e-07,6.693,6.7487
1154.2954,0,0.05565,4.7913e-07,6.6937,6.7493
1154.3055,0,0.05565,4.7908e-07,6.6944,6.75
1154.3155,0,0.05565,4.7904e-07,6.695,6.7507
1154.3255,0,0.05565,4.79e-07,6.6957,6.7513
1154.3356,0,0.05565,4.7896e-07,6.6964,6.752
1154.3456,0,0.05565,4.7892e-07,6.697,6.7527
1154.3556,0,0.05565,4.7888e-07,6.6977,6.7534
1154.3657,0,0.05565,4.7884e-07,6.6984,6.754
1154.3757,0,0.05565,4.788e-07,6.699,6.7547
1154.3858,0,0.05565,4.7876e-07,6.6997,6.7554
1154.3958,0,0.05565,4.7872e-07,6.7004,6.756
1154.4058,0,0.05565,4.7868e-07,6.701,6.7567
1154.4159,0,0.05565,4.7864e-07,6.7017,6.7574
1154.4259,0,0.05565,4.7859e-07,6.7024,6.758
1154.4359,0,0.05565,4.7855e-07,6.703,6.7587
1154.4460,0,0.05565,4.7851e-07,6.7037,6.7594
1154.4560,0,0.05565,4.7847e-07,6.7044,6.76
1154.4660,0,0.05565,4.7843e-07,6.705,6.7607
1154.4761,0,0.05565,4.7839e-07,6.7057,6.7614
1154.4861,0,0.05565,4.7835e-07,6.7064,6.762
1154.4962,0,0.05565,4.7831e-07,6.707,6.7627
1154.5062,0,0.05565,4.7827e-07,6.7077,6.7634
1154.5162,0,0.05565,4.7823e-07,6.7084,6.764
1154.5263,0,0.05565,4.7818e-07,6.7091,6.7647
1154.5363,0,0.05565,4.7814e-07,6.7097,6.7654
1154.5463,0,0.05565,4.781e-07,6.7104,6.7661
1154.5564,0,0.05565,4.7806e-07,6.7111,6.7667
1154.5664,0,0.05565,4.7802e-07,6.7118,6.7674
1154.5764,0,0.05565,4.7798e-07,6.7124,6.7681
1154.5865,0,0.05565,4.7794e-07,6.7131,6.7688
1154.5965,0,0.05565,4.779e-07,6.7138,6.7694
1154.6065,0,0.05565,4.7785e-07,6.7144,6.7701
1154.6166,0,0.05565,4.7781e-07,6.7151,6.7708
1154.6266,0,0.05565,4.7777e-07,6.7158,6.7714
1154.6367,0,0.05565,4.7773e-07,6.7165,6.7721
1154.6467,0,0.05565,4.7769e-07,6.7171,6.7728
1154.6567,0,0.05565,4.7765e-07,6.7178,6.7735
1154.6668,0,0.05565,4.7761e-07,6.7185,6.7741
1154.6768,0,0.05565,4.7756e-07,6.7191,6.7748
1154.6868,0,0.05565,4.7752e-07,6.7198,6.7755
1154.6969,0,0.05565,4.7748e-07,6.7205,6.7761
1154.7069,0,0.05565,4.7744e-07,6.7212,6.7768
1154.7169,0,0.05565,4.774e-07,6.7218,6.7775
1154.7270,0,0.05565,4.7736e-07,6.7225,6.7782
1154.7370,0,0.05565,4.7731e-07,6.7232,6.7788
1154.7471,0,0.05565,4.7727e-07,6.7238,6.7795
1154.7571,0,0.05565,4.7723e-07,6.7245,6.7802
1154.7671,0,0.05565,4.7719e-07,6.7252,6.7808
1154.7772,0,0.05565,4.7715e-07,6.7259,6.7815
1154.7872,0,0.05565,4.7711e-07,6.7265,6.7822
1154.7972,0,0.05565,4.7706e-07,6.7272,6.7828
1154.8073,0,0.05565,4.7702e-07,6.7279,6.7835
1154.8173,0,0.05565,4.7698e-07,6.7285,6.7842
1154.8273,0,0.05565,4.7694e-07,6.7292,6.7849
1154.8374,0,0.05565,4.769e-07,6.7299,6.7855
1154.8474,0,0.05565,4.7686e-07,6.7305,6.7862
1154.8574,0,0.05565,4.7681e-07,6.7312,6.7869
1154.8675,0,0.05565,4.7677e-07,6.7319,6.7875
1154.8775,0,0.05565,4.7673e-07,6.7325,6.7882
1154.8876,0,0.05565,4.7669e-07,6.7332,6.7889
1154.8976,0,0.05565,4.7665e-07,6.7339,6.7895
1154.9076,0,0.05565,4.766e-07,6.7346,6.7902
1154.9177,0,0.05565,4.7656e-07,6.7352,6.7909
1154.9277,0,0.05565,4.7652e-07,6.7359,6.7915
1154.9377,0,0.05565,4.7648e-07,6.7366,6.7922
1154.9478,0,0.05565,4.7644e-07,6.7372,6.7929
1154.9578,0,0.05565,4.7639e-07,6.7379,6.7935
1154.9678,0,0.05565,4.7635e-07,6.7386,6.7942
1154.9779,0,0.05565,4.7631e-07,6.7392,6.7949
1154.9879,0,0.05565,4.7627e-07,6.7399,6.7955
1154.9980,0,0.05565,4.7622e-07,6.7406,6.7962
1155.0080,0,0.05565,4.7618e-07,6.7412,6.7969
1155.0180,0,0.05565,4.7614e-07,6.7419,6.7975
1155.0281,0,0.05565,4.761e-07,6.7426,6.7982
1155.0381,0,0.05565,4.7606e-07,6.7432,6.7989
1155.0481,0,0.05565,4.7601e-07,6.7439,6.7995
1155.0582,0,0.05565,4.7597e-07,6.7445,6.8002
1155.0682,0,0.05565,4.7593e-07,6.7452,6.8009
1155.0782,0,0.05565,4.7589e-07,6.7459,6.8015
1155.0883,0,0.05565,4.7584e-07,6.7465,6.8022
1155.0983,0,0.05565,4.758e-07,6.7472,6.8029
1155.1083,0,0.05565,4.7576e-07,6.7479,6.8035
