wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1152.9907,0,0.017369,3.3978e-07,6.4515,6.4688
1153.0008,0,0.12158,3.4399e-07,6.5625,6.6841
1153.0108,0,0.13895,3.482e-07,6.5751,6.714
1153.0209,0,0.13895,3.5241e-07,6.5758,6.7148
1153.0309,0,0.13895,3.5662e-07,6.5766,6.7156
1153.0409,0,0.13895,3.6083e-07,6.5774,6.7164
1153.0510,0,0.13895,3.6504e-07,6.5782,6.7171
1153.0610,0,0.13895,3.6925e-07,6.579,6.7179
1153.0710,0,0.13895,3.7346e-07,6.5797,6.7187
1153.0811,0,0.13895,3.7766e-07,6.5805,6.7195
1153.0911,0,0.13895,3.8179e-07,6.5813,6.7203
1153.1011,0,0.13895,3.8584e-07,6.5821,6.721
1153.1112,0,0.13895,3.898e-07,6.5829,6.7218
1153.1212,0,0.13895,3.9368e-07,6.5836,6.7226
1153.1312,0,0.13895,3.9747e-07,6.5844,6.7234
1153.1413,0,0.13895,4.0117e-07,6.5852,6.7242
1153.1513,0,0.13895,4.048e-07,6.586,6.7249
1153.1614,0,0.13895,4.0833e-07,6.5868,6.7257
1153.1714,0,0.13895,4.1179e-07,6.5875,6.7265
1153.1814,0,0.13895,4.1515e-07,6.5883,6.7273
1153.1915,0,0.13895,4.1843e-07,6.5891,6.728
1153.2015,0,0.13895,4.2163e-07,6.5899,6.7288
1153.2115,0,0.13895,4.2474e-07,6.5907,6.7296
1153.2216,0,0.13895,4.2777e-07,6.5914,6.7304
1153.2316,0,0.13895,4.3071e-07,6.5922,6.7312
1153.2416,0,0.13895,4.3356e-07,6.593,6.7319
1153.2517,0,0.13895,4.3633e-07,6.5938,6.7327
1153.2617,0,0.13895,4.3902e-07,6.5945,6.7335
1153.2718,0,0.13895,4.4162e-07,6.5953,6.7343
1153.2818,0,0.13895,4.4414e-07,6.5961,6.7351
1153.2918,0,0.13895,4.4657e-07,6.5969,6.7358
1153.3019,0,0.13895,4.4891e-07,6.5977,6.7366
1153.3119,0,0.13895,4.5117e-07,6.5984,6.7374
1153.3219,0,0.13895,4.5335e-07,6.5992,6.7382
1153.3320,0,0.13895,4.5544e-07,6.6,6.7389
1153.3420,0,0.13895,4.5744e-07,6.6008,6.7397
1153.3520,0,0.13895,4.5936e-07,6.6015,6.7405
1153.3621,0,0.13895,4.6119e-07,6.6023,6.7413
1153.3721,0,0.13895,4.6294e-07,6.6031,6.742
1153.3821,0,0.13895,4.6461e-07,6.6039,6.7428
1153.3922,0,0.13895,4.6619e-07,6.6046,6.7436
1153.4022,0,0.13895,4.6768e-07,6.6054,6.7444
1153.4123,0,0.13895,4.6909e-07,6.6062,6.7452
1153.4223,0,0.13895,4.7041e-07,6.607,6.7459
1153.4323,0,0.13895,4.7165e-07,6.6078,6.7467
1153.4424,0,0.13895,4.728e-07,6.6085,6.7475
1153.4524,0,0.13895,4.7387e-07,6.6093,6.7483
