ra dec redshift mag_fuv name n_tot n_ind
194.331495 44.493169 0.30000001192092896 16.901199340820312 J1257+4429 1 1
228.679451 36.847339 0.3709999918937683 17.054523468017578 J1514+3650 1 1
153.5077546 46.3315954 0.32199999690055847 17.375246047973633 J1014+4619 1 1
224.036059 27.835766 0.24799999594688416 17.406259536743164 J1456+2750 2 1
154.959734 34.631651 0.33500000834465027 17.645362854003906 J1019+3437 1 1
183.071864 28.063881 0.1679999977350235 17.71288299560547 J1212+2803 1 1
187.725492 11.003114 0.23600000143051147 17.34252166748047 J1230+1100 1 1
229.900604 28.641011 0.26899999380111694 17.933300018310547 J1519+2838 1 1
200.437383 3.515482 0.26899999380111694 17.277568817138672 J1321+0330 1 1
28.154374999999998 -1.732888888888889 0.8516779541969299 17.725914001464844 J0152-0143 1 1
152.627282 25.997076 0.5109999775886536 17.831270217895508 J1010+2559 1 1
28.1544445 -1.7327778 0.8500000238418579 17.725914001464844 J0152-0143 1 1
249.443969 42.91379 0.5440000295639038 17.958587646484375 J1637+4254 1 1
223.843945 12.121753 0.5009999871253967 17.954833984375 J1455+1207 1 1
232.760367 43.943804 0.4519999921321869 17.856679916381836 J1531+4356 1 1
186.3039 12.309912 0.41200000047683716 17.749300003051758 J1225+1218 1 1
208.107517 13.481469 0.4020000100135803 17.887582778930664 J1352+1328 1 1
223.102807 45.373243 0.46700000762939453 17.90552520751953 J1452+4522 1 1
228.277518 14.414275 0.33000001311302185 17.868289947509766 J1513+1424 4 1
